

   No. Wave(nm)     Rf
   1     599      0.0000
   2     600      0.0000
   3     601      0.0000
   4     602      0.0000
   5     603      0.0000
   6     604      0.0000
   7     605      0.0000
   8     606      0.0000
   9     607      0.0000
  10     608      0.0000
  11     609      0.0000
  12     610      0.0000
  13     611      0.0000
  14     612      0.0000
  15     613      0.0000
  16     614      0.0000
  17     615      0.0000
  18     616      0.0000
  19     617      0.0000
  20     618      0.0000
  21     619      0.0000
  22     620      0.0000
  23     621      0.0000
  24     622      0.0000
  25     623      0.0000
  26     624      0.0000
  27     625      0.0000
  28     626      0.0000
  29     627      0.0000
  30     628      0.0000
  31     629      0.0000
  32     630      0.0000
  33     631      0.0000
  34     632      0.0000
  35     633      0.0000
  36     634      0.0000
  37     635      0.0000
  38     636      0.0000
  39     637      0.0000
  40     638      0.0000
  41     639      0.0000
  42     640      0.0000
  43     641      0.0000
  44     642      0.0000
  45     643      0.0000
  46     644      0.0000
  47     645      0.0000
  48     646      0.0000
  49     647      0.0000
  50     648      0.0000
  51     649      0.0000
  52     650      0.0000
  53     651      0.0000
  54     652      0.0000
  55     653      0.0000
  56     654      0.0000
  57     655      0.0000
  58     656      0.0000
  59     657      0.0000
  60     658      0.0000
  61     659      0.0000
  62     660      0.0000
  63     661      0.0000
  64     662      0.0000
  65     663      0.0000
  66     664      0.0000
  67     665      0.0000
  68     666      0.0000
  69     667      0.0000
  70     668      0.0000
  71     669      0.0000
  72     670      0.0000
  73     671      0.0000
  74     672      0.0000
  75     673      0.0000
  76     674      0.0000
  77     675      0.0000
  78     676      0.0000
  79     677      0.0000
  80     678      0.0000
  81     679      0.0000
  82     680      0.0000
  83     681      0.0000
  84     682      0.0000
  85     683      0.0000
  86     684      0.0000
  87     685      0.0000
  88     686      0.0000
  89     687      0.0000
  90     688      0.0000
  91     689      0.0000
  92     690      0.0000
  93     691      0.0000
  94     692      0.0000
  95     693      0.0000
  96     694      0.0000
  97     695      0.0000
  98     696      0.0000
  99     697      0.0000
 100     698      0.0000
 101     699      0.0000
 102     700      0.0000
 103     701      0.0000
 104     702      0.0000
 105     703      0.0000
 106     704      0.0000
 107     705      0.0000
 108     706      0.0000
 109     707      0.0000
 110     708      0.0000
 111     709      0.0000
 112     710      0.0000
 113     711      0.0000
 114     712      0.0000
 115     713      0.0000
 116     714      0.0000
 117     715      0.0000
 118     716      0.0000
 119     717      0.0000
 120     718      0.0000
 121     719      0.0000
 122     720      0.0000
 123     721      0.0000
 124     722      0.0000
 125     723      0.0000
 126     724      0.0000
 127     725      0.0000
 128     726      0.0000
 129     727      0.0000
 130     728      0.0000
 131     729      0.0000
 132     730      0.0000
 133     731      0.0000
 134     732      0.0000
 135     733      0.0000
 136     734      0.0000
 137     735      0.0000
 138     736      0.0000
 139     737      0.0000
 140     738      0.0000
 141     739      0.0000
 142     740      0.0000
 143     741      0.0000
 144     742      0.0000
 145     743      0.0000
 146     744      0.0000
 147     745      0.0000
 148     746      0.0000
 149     747      0.0000
 150     748      0.0000
 151     749      0.0000
 152     750      0.0000
 153     751      0.0000
 154     752      0.0000
 155     753      0.0000
 156     754      0.0000
 157     755      0.0000
 158     756      0.0000
 159     757      0.0000
 160     758      0.0000
 161     759      0.0000
 162     760      0.0000
 163     761      0.0000
 164     762      0.0000
 165     763      0.0000
 166     764      0.0000
 167     765      0.0000
 168     766      0.0000
 169     767      0.0000
 170     768      0.0000
 171     769      0.0000
 172     770      0.0000
 173     771      0.0000
 174     772      0.0000
 175     773      0.0000
 176     774      0.0000
 177     775      0.0000
 178     776      0.0000
 179     777      0.0000
 180     778      0.0000
 181     779      0.0000
 182     780      0.0000
 183     781      0.0000
 184     782      0.0000
 185     783      0.0000
 186     784      0.0000
 187     785      0.0000
 188     786      0.0000
 189     787      0.0000
 190     788      0.0000
 191     789      0.0000
 192     790      0.0000
 193     791      0.0000
 194     792      0.0000
 195     793      0.0000
 196     794      0.0000
 197     795      0.0000
 198     796      0.0000
 199     797      0.0000
 200     798      0.0000
 201     799      0.0000
 202     800      0.0000
 203     801      0.0000
 204     802      0.0000
 205     803      0.0000
 206     804      0.0000
 207     805      0.0000
 208     806      0.0000
 209     807      0.0000
 210     808      0.0000
 211     809      0.0000
 212     810      0.0000
 213     811      0.0000
 214     812      0.0000
 215     813      0.0000
 216     814      0.0000
 217     815      0.0000
