

   No. Wave(nm)     Rf
 218     816      0.0000
 219     817      0.0000
 220     818      0.0000
 221     819      0.0000
 222     820      0.0000
 223     821      0.0000
 224     822      0.0000
 225     823      0.0000
 226     824      0.0000
 227     825      0.0000
 228     826      0.0000
 229     827      0.0000
 230     828      0.0000
 231     829      0.0000
 232     830      0.0000
 233     831      0.0000
 234     832      0.0000
 235     833      0.0000
 236     834      0.0000
 237     835      0.0000
 238     836      0.0000
 239     837      0.0000
 240     838      0.0000
 241     839      0.0000
 242     840      0.0000
 243     841      0.0000
 244     842      0.0000
 245     843      0.0000
 246     844      0.0000
 247     845      0.0000
 248     846      0.0000
 249     847      0.0000
 250     848      0.0000
 251     849      0.0000
 252     850      0.0000
 253     851      0.0000
 254     852      0.0000
 255     853      0.0000
 256     854      0.0000
 257     855      0.0000
 258     856      0.0000
 259     857      0.0000
 260     858      0.0000
 261     859      0.0000
 262     860      0.0000
 263     861      0.0000
 264     862      0.0000
 265     863      0.0000
 266     864      0.0000
 267     865      0.0000
 268     866      0.0000
 269     867      0.0000
 270     868      0.0000
 271     869      0.0000
 272     870      0.0000
 273     871      0.0000
 274     872      0.0000
 275     873      0.0000
 276     874      0.0000
 277     875      0.0000
 278     876      0.0000
 279     877      0.0000
 280     878      0.0000
 281     879      0.0000
 282     880      0.0000
 283     881      0.0000
 284     882      0.0000
 285     883      0.0000
 286     884      0.0000
 287     885      0.0000
 288     886      0.0000
 289     887      0.0000
 290     888      0.0000
 291     889      0.0000
 292     890      0.0000
 293     891      0.0000
 294     892      0.0000
 295     893      0.0000
 296     894      0.0000
 297     895      0.0000
 298     896      0.0000
 299     897      0.0000
 300     898      0.0000
 301     899      0.0000
 302     900      0.0000
