   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
   79   478      0.0208   0.0204    0.0204   0.5584   0.0000  0.0000  0.4207
   80   479      0.0209   0.0205    0.0205   0.5584   0.0000  0.0000  0.4207
   81   480      0.0210   0.0206    0.0206   0.5583   0.0000  0.0000  0.4207
   82   481      0.0211   0.0207    0.0207   0.5582   0.0000  0.0000  0.4207
   83   482      0.0212   0.0208    0.0208   0.5581   0.0000  0.0000  0.4207
   84   483      0.0213   0.0209    0.0209   0.5579   0.0000  0.0000  0.4207
   85   484      0.0214   0.0210    0.0210   0.5578   0.0000  0.0000  0.4208
   86   485      0.0216   0.0211    0.0211   0.5575   0.0000  0.0000  0.4208
   87   486      0.0218   0.0213    0.0213   0.5573   0.0000  0.0000  0.4209
   88   487      0.0219   0.0214    0.0214   0.5570   0.0000  0.0000  0.4211
   89   488      0.0222   0.0216    0.0216   0.5566   0.0000  0.0000  0.4212
   90   489      0.0224   0.0218    0.0218   0.5562   0.0000  0.0000  0.4213
   91   490      0.0227   0.0220    0.0220   0.5558   0.0000  0.0000  0.4215
   92   491      0.0230   0.0222    0.0222   0.5553   0.0000  0.0000  0.4217
   93   492      0.0233   0.0224    0.0224   0.5547   0.0000  0.0000  0.4219
   94   493      0.0237   0.0226    0.0226   0.5541   0.0000  0.0000  0.4222
   95   494      0.0241   0.0229    0.0229   0.5534   0.0000  0.0000  0.4225
   96   495      0.0245   0.0231    0.0231   0.5526   0.0000  0.0000  0.4229
   97   496      0.0250   0.0235    0.0235   0.5518   0.0000  0.0000  0.4232
   98   497      0.0255   0.0238    0.0238   0.5509   0.0000  0.0000  0.4236
   99   498      0.0261   0.0242    0.0242   0.5499   0.0000  0.0000  0.4240
  100   499      0.0268   0.0247    0.0247   0.5488   0.0000  0.0000  0.4244
  101   500      0.0275   0.0251    0.0251   0.5476   0.0000  0.0000  0.4249
  102   501      0.0282   0.0256    0.0256   0.5463   0.0000  0.0000  0.4255
  103   502      0.0290   0.0261    0.0261   0.5449   0.0000  0.0000  0.4261
  104   503      0.0298   0.0266    0.0266   0.5434   0.0000  0.0000  0.4268
  105   504      0.0308   0.0273    0.0273   0.5418   0.0000  0.0000  0.4275
  106   505      0.0318   0.0279    0.0279   0.5400   0.0000  0.0000  0.4282
  107   506      0.0328   0.0286    0.0286   0.5381   0.0000  0.0000  0.4290
  108   507      0.0340   0.0293    0.0293   0.5361   0.0000  0.0000  0.4299
  109   508      0.0352   0.0301    0.0301   0.5339   0.0000  0.0000  0.4309
  110   509      0.0365   0.0309    0.0309   0.5316   0.0000  0.0000  0.4319
  111   510      0.0379   0.0318    0.0318   0.5291   0.0000  0.0000  0.4329
  112   511      0.0394   0.0327    0.0327   0.5265   0.0000  0.0000  0.4341
  113   512      0.0410   0.0338    0.0338   0.5237   0.0000  0.0000  0.4353
  114   513      0.0427   0.0348    0.0348   0.5207   0.0000  0.0000  0.4365
  115   514      0.0445   0.0360    0.0360   0.5176   0.0000  0.0000  0.4378
  116   515      0.0464   0.0371    0.0371   0.5144   0.0000  0.0000  0.4392
  117   516      0.0483   0.0384    0.0384   0.5110   0.0000  0.0000  0.4407
  118   517      0.0503   0.0396    0.0396   0.5076   0.0000  0.0000  0.4421
  119   518      0.0523   0.0409    0.0409   0.5040   0.0000  0.0000  0.4437
  120   519      0.0544   0.0422    0.0422   0.5004   0.0000  0.0000  0.4452
  121   520      0.0565   0.0435    0.0435   0.4967   0.0000  0.0000  0.4468
  122   521      0.0586   0.0449    0.0449   0.4931   0.0000  0.0000  0.4483
  123   522      0.0607   0.0462    0.0462   0.4894   0.0000  0.0000  0.4499
  124   523      0.0628   0.0475    0.0475   0.4858   0.0000  0.0000  0.4514
  125   524      0.0648   0.0488    0.0488   0.4823   0.0000  0.0000  0.4529
  126   525      0.0667   0.0501    0.0501   0.4790   0.0000  0.0000  0.4543
  127   526      0.0686   0.0512    0.0512   0.4758   0.0000  0.0000  0.4556
  128   527      0.0703   0.0524    0.0524   0.4727   0.0000  0.0000  0.4569
  129   528      0.0720   0.0534    0.0534   0.4700   0.0000  0.0000  0.4580
  130   529      0.0735   0.0544    0.0544   0.4674   0.0000  0.0000  0.4591
  131   530      0.0749   0.0553    0.0553   0.4650   0.0000  0.0000  0.4601
  132   531      0.0762   0.0562    0.0562   0.4628   0.0000  0.0000  0.4610
  133   532      0.0774   0.0570    0.0570   0.4608   0.0000  0.0000  0.4618
  134   533      0.0785   0.0577    0.0577   0.4590   0.0000  0.0000  0.4625
  135   534      0.0794   0.0583    0.0583   0.4574   0.0000  0.0000  0.4631
  136   535      0.0802   0.0589    0.0589   0.4561   0.0000  0.0000  0.4637
  137   536      0.0810   0.0594    0.0594   0.4549   0.0000  0.0000  0.4641
  138   537      0.0816   0.0598    0.0598   0.4539   0.0000  0.0000  0.4645
  139   538      0.0821   0.0602    0.0602   0.4530   0.0000  0.0000  0.4649
  140   539      0.0826   0.0605    0.0605   0.4522   0.0000  0.0000  0.4651
  141   540      0.0830   0.0608    0.0608   0.4516   0.0000  0.0000  0.4653
  142   541      0.0834   0.0611    0.0611   0.4511   0.0000  0.0000  0.4655
  143   542      0.0837   0.0613    0.0613   0.4506   0.0000  0.0000  0.4657
  144   543      0.0840   0.0615    0.0615   0.4502   0.0000  0.0000  0.4658
  145   544      0.0843   0.0617    0.0617   0.4497   0.0000  0.0000  0.4660
  146   545      0.0846   0.0620    0.0620   0.4494   0.0000  0.0000  0.4660
  147   546      0.0849   0.0622    0.0622   0.4490   0.0000  0.0000  0.4661
  148   547      0.0851   0.0624    0.0624   0.4486   0.0000  0.0000  0.4662
  149   548      0.0854   0.0626    0.0626   0.4483   0.0000  0.0000  0.4663
  150   549      0.0856   0.0628    0.0628   0.4480   0.0000  0.0000  0.4664
  151   550      0.0857   0.0629    0.0629   0.4478   0.0000  0.0000  0.4664
  152   551      0.0858   0.0630    0.0630   0.4477   0.0000  0.0000  0.4664
  153   552      0.0859   0.0631    0.0631   0.4477   0.0000  0.0000  0.4664
  154   553      0.0858   0.0631    0.0631   0.4479   0.0000  0.0000  0.4662
  155   554      0.0857   0.0631    0.0631   0.4482   0.0000  0.0000  0.4660
  156   555      0.0855   0.0630    0.0630   0.4487   0.0000  0.0000  0.4658
  157   556      0.0852   0.0628    0.0628   0.4494   0.0000  0.0000  0.4654
  158   557      0.0848   0.0626    0.0626   0.4502   0.0000  0.0000  0.4650
  159   558      0.0842   0.0623    0.0623   0.4512   0.0000  0.0000  0.4645
  160   559      0.0837   0.0620    0.0620   0.4523   0.0000  0.0000  0.4640
  161   560      0.0830   0.0616    0.0616   0.4536   0.0000  0.0000  0.4634
  162   561      0.0823   0.0612    0.0612   0.4550   0.0000  0.0000  0.4627
  163   562      0.0814   0.0607    0.0607   0.4565   0.0000  0.0000  0.4620
  164   563      0.0806   0.0602    0.0602   0.4582   0.0000  0.0000  0.4612
  165   564      0.0796   0.0597    0.0597   0.4600   0.0000  0.0000  0.4604
  166   565      0.0786   0.0591    0.0591   0.4619   0.0000  0.0000  0.4595
  167   566      0.0775   0.0585    0.0585   0.4639   0.0000  0.0000  0.4585
  168   567      0.0764   0.0578    0.0578   0.4661   0.0000  0.0000  0.4575
  169   568      0.0752   0.0571    0.0571   0.4683   0.0000  0.0000  0.4565
  170   569      0.0740   0.0564    0.0564   0.4706   0.0000  0.0000  0.4554
  171   570      0.0727   0.0557    0.0557   0.4729   0.0000  0.0000  0.4544
  172   571      0.0715   0.0549    0.0549   0.4751   0.0000  0.0000  0.4533
  173   572      0.0703   0.0542    0.0542   0.4774   0.0000  0.0000  0.4523
  174   573      0.0691   0.0535    0.0535   0.4796   0.0000  0.0000  0.4513
  175   574      0.0680   0.0529    0.0529   0.4817   0.0000  0.0000  0.4503
  176   575      0.0669   0.0523    0.0523   0.4837   0.0000  0.0000  0.4494
  177   576      0.0659   0.0517    0.0517   0.4855   0.0000  0.0000  0.4485
  178   577      0.0650   0.0511    0.0511   0.4873   0.0000  0.0000  0.4477
  179   578      0.0641   0.0506    0.0506   0.4890   0.0000  0.0000  0.4469
  180   579      0.0633   0.0502    0.0502   0.4905   0.0000  0.0000  0.4462
  181   580      0.0625   0.0497    0.0497   0.4920   0.0000  0.0000  0.4455
  182   581      0.0618   0.0493    0.0493   0.4934   0.0000  0.0000  0.4448
  183   582      0.0611   0.0489    0.0489   0.4948   0.0000  0.0000  0.4441
  184   583      0.0604   0.0486    0.0486   0.4961   0.0000  0.0000  0.4435
  185   584      0.0598   0.0482    0.0482   0.4972   0.0000  0.0000  0.4429
  186   585      0.0592   0.0479    0.0479   0.4984   0.0000  0.0000  0.4424
  187   586      0.0587   0.0476    0.0476   0.4994   0.0000  0.0000  0.4419
