   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
   79   677      0.0170   0.0191    0.0226   0.7138   0.0000  0.0000  0.2690
   80   678      0.0170   0.0191    0.0227   0.7138   0.0000  0.0000  0.2690
   81   679      0.0171   0.0192    0.0228   0.7137   0.0000  0.0000  0.2689
   82   680      0.0173   0.0193    0.0229   0.7136   0.0000  0.0000  0.2689
   83   681      0.0175   0.0195    0.0231   0.7134   0.0000  0.0000  0.2690
   84   682      0.0178   0.0198    0.0233   0.7130   0.0000  0.0000  0.2690
   85   683      0.0182   0.0201    0.0236   0.7124   0.0000  0.0000  0.2692
   86   684      0.0187   0.0206    0.0240   0.7116   0.0000  0.0000  0.2695
   87   685      0.0194   0.0212    0.0246   0.7106   0.0000  0.0000  0.2698
   88   686      0.0202   0.0219    0.0252   0.7093   0.0000  0.0000  0.2703
   89   687      0.0213   0.0229    0.0260   0.7076   0.0000  0.0000  0.2708
   90   688      0.0226   0.0240    0.0270   0.7057   0.0000  0.0000  0.2715
   91   689      0.0243   0.0254    0.0281   0.7032   0.0000  0.0000  0.2723
   92   690      0.0261   0.0270    0.0295   0.7004   0.0000  0.0000  0.2732
   93   691      0.0283   0.0289    0.0311   0.6971   0.0000  0.0000  0.2743
   94   692      0.0309   0.0311    0.0330   0.6934   0.0000  0.0000  0.2755
   95   693      0.0338   0.0336    0.0351   0.6891   0.0000  0.0000  0.2769
   96   694      0.0370   0.0364    0.0374   0.6843   0.0000  0.0000  0.2785
   97   695      0.0405   0.0394    0.0400   0.6791   0.0000  0.0000  0.2801
   98   696      0.0444   0.0427    0.0428   0.6735   0.0000  0.0000  0.2819
   99   697      0.0484   0.0461    0.0458   0.6674   0.0000  0.0000  0.2839
  100   698      0.0528   0.0497    0.0489   0.6609   0.0000  0.0000  0.2860
  101   699      0.0574   0.0535    0.0522   0.6542   0.0000  0.0000  0.2882
  102   700      0.0621   0.0573    0.0556   0.6472   0.0000  0.0000  0.2905
  103   701      0.0670   0.0612    0.0591   0.6399   0.0000  0.0000  0.2928
  104   702      0.0719   0.0651    0.0627   0.6326   0.0000  0.0000  0.2952
  105   703      0.0769   0.0690    0.0663   0.6251   0.0000  0.0000  0.2977
  106   704      0.0820   0.0729    0.0698   0.6175   0.0000  0.0000  0.3002
  107   705      0.0870   0.0767    0.0734   0.6100   0.0000  0.0000  0.3027
  108   706      0.0921   0.0805    0.0770   0.6023   0.0000  0.0000  0.3053
  109   707      0.0972   0.0842    0.0805   0.5947   0.0000  0.0000  0.3078
  110   708      0.1023   0.0878    0.0841   0.5870   0.0000  0.0000  0.3104
  111   709      0.1074   0.0914    0.0876   0.5792   0.0000  0.0000  0.3131
  112   710      0.1125   0.0950    0.0912   0.5714   0.0000  0.0000  0.3157
  113   711      0.1177   0.0985    0.0947   0.5635   0.0000  0.0000  0.3185
  114   712      0.1229   0.1020    0.0983   0.5555   0.0000  0.0000  0.3212
  115   713      0.1282   0.1054    0.1018   0.5474   0.0000  0.0000  0.3241
  116   714      0.1335   0.1088    0.1054   0.5392   0.0000  0.0000  0.3269
  117   715      0.1388   0.1122    0.1090   0.5309   0.0000  0.0000  0.3299
  118   716      0.1443   0.1156    0.1126   0.5225   0.0000  0.0000  0.3329
  119   717      0.1497   0.1189    0.1162   0.5140   0.0000  0.0000  0.3359
  120   718      0.1552   0.1222    0.1199   0.5054   0.0000  0.0000  0.3390
  121   719      0.1607   0.1255    0.1235   0.4967   0.0000  0.0000  0.3421
  122   720      0.1663   0.1287    0.1271   0.4880   0.0000  0.0000  0.3453
  123   721      0.1719   0.1318    0.1307   0.4792   0.0000  0.0000  0.3485
  124   722      0.1775   0.1349    0.1343   0.4703   0.0000  0.0000  0.3518
  125   723      0.1830   0.1380    0.1378   0.4615   0.0000  0.0000  0.3550
  126   724      0.1886   0.1410    0.1414   0.4526   0.0000  0.0000  0.3583
  127   725      0.1941   0.1439    0.1448   0.4438   0.0000  0.0000  0.3616
  128   726      0.1996   0.1467    0.1483   0.4350   0.0000  0.0000  0.3649
  129   727      0.2050   0.1495    0.1516   0.4264   0.0000  0.0000  0.3682
  130   728      0.2104   0.1521    0.1549   0.4178   0.0000  0.0000  0.3714
  131   729      0.2156   0.1547    0.1582   0.4093   0.0000  0.0000  0.3746
  132   730      0.2207   0.1573    0.1613   0.4010   0.0000  0.0000  0.3777
  133   731      0.2257   0.1596    0.1643   0.3929   0.0000  0.0000  0.3808
  134   732      0.2307   0.1620    0.1673   0.3849   0.0000  0.0000  0.3839
  135   733      0.2355   0.1642    0.1702   0.3772   0.0000  0.0000  0.3868
  136   734      0.2400   0.1664    0.1730   0.3697   0.0000  0.0000  0.3897
  137   735      0.2445   0.1684    0.1756   0.3625   0.0000  0.0000  0.3925
  138   736      0.2488   0.1703    0.1782   0.3555   0.0000  0.0000  0.3952
  139   737      0.2528   0.1721    0.1806   0.3488   0.0000  0.0000  0.3978
  140   738      0.2568   0.1739    0.1829   0.3424   0.0000  0.0000  0.4002
  141   739      0.2606   0.1756    0.1851   0.3362   0.0000  0.0000  0.4026
  142   740      0.2641   0.1772    0.1873   0.3304   0.0000  0.0000  0.4048
  143   741      0.2675   0.1786    0.1892   0.3250   0.0000  0.0000  0.4069
  144   742      0.2706   0.1800    0.1911   0.3198   0.0000  0.0000  0.4089
  145   743      0.2736   0.1813    0.1928   0.3150   0.0000  0.0000  0.4108
  146   744      0.2764   0.1824    0.1945   0.3104   0.0000  0.0000  0.4125
  147   745      0.2790   0.1836    0.1960   0.3062   0.0000  0.0000  0.4142
  148   746      0.2815   0.1846    0.1975   0.3022   0.0000  0.0000  0.4157
  149   747      0.2837   0.1856    0.1988   0.2985   0.0000  0.0000  0.4171
  150   748      0.2858   0.1865    0.2000   0.2951   0.0000  0.0000  0.4184
  151   749      0.2877   0.1873    0.2012   0.2920   0.0000  0.0000  0.4195
  152   750      0.2895   0.1881    0.2022   0.2892   0.0000  0.0000  0.4206
  153   751      0.2912   0.1888    0.2033   0.2864   0.0000  0.0000  0.4217
  154   752      0.2930   0.1895    0.2043   0.2836   0.0000  0.0000  0.4227
