0	0
0	0
0.3199	0.1552
0.431	0.2028
0.5437	0.2457
0.6574	0.2855
0.7827	0.3283
0.931	0.3758
1.084	0.419
1.229	0.4578
1.43	0.5045
1.825	0.571
2.692	0.6718
4.299	0.8022
5.362	0.8601
5.903	0.8785
6.606	0.9
6.606	0.9
6.606	0.9
6.606	0.9
0	0
0	0
0.2663	0.1389
0.3456	0.1741
0.4357	0.2103
0.5213	0.2453
0.6057	0.2795
0.6951	0.3166
0.8028	0.3609
0.9313	0.4133
1.102	0.4735
1.31	0.535
1.598	0.6039
1.932	0.666
2.466	0.7388
3.426	0.822
4.638	0.8722
6.328	0.9074
6.328	0.9074
6.328	0.9074
0	0
0	0
0.2452	0.132
0.3432	0.1774
0.4451	0.2192
0.5463	0.2606
0.6621	0.3091
0.7813	0.3574
0.8868	0.3977
0.9978	0.4357
1.124	0.4754
1.268	0.5163
1.474	0.566
1.739	0.6157
2.738	0.7197
5.349	0.8852
6.062	0.9081
6.543	0.9196
6.543	0.9196
6.543	0.9196
0	0
0	0
0.2246	0.1179
0.3035	0.1554
0.4452	0.218
0.574	0.2731
0.7378	0.3395
0.878	0.393
1.015	0.4425
1.148	0.4839
1.338	0.5315
1.575	0.5846
1.956	0.6437
2.535	0.6991
4.483	0.8336
5.605	0.8913
5.777	0.8972
6.494	0.9169
6.494	0.9169
6.494	0.9169
0	0
0	0
0.1516	0.07028
0.1973	0.08922
0.2686	0.1187
0.3732	0.1619
0.5034	0.2141
0.6475	0.2714
0.7641	0.32
0.9166	0.3842
1.091	0.4402
1.305	0.4922
1.683	0.568
2.636	0.702
3.557	0.7852
4.761	0.8431
5.52	0.8697
6.091	0.8853
6.091	0.8853
6.091	0.8853
0	0
0	0
0.1579	0.08407
0.2239	0.1159
0.324	0.1618
0.4393	0.2121
0.5629	0.2624
0.664	0.3028
0.7218	0.333
0.8812	0.393
1.086	0.4599
1.381	0.5407
1.899	0.6458
2.575	0.7398
3.298	0.8107
4.042	0.8566
5.303	0.8964
6.501	0.9195
6.501	0.9195
6.501	0.9195
