   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
   79   677      0.0328   0.0674    0.0674   0.4238   0.0000  0.0000  0.5435
   80   678      0.0329   0.0677    0.0677   0.4238   0.0000  0.0000  0.5433
   81   679      0.0330   0.0679    0.0679   0.4237   0.0000  0.0000  0.5432
   82   680      0.0332   0.0682    0.0682   0.4235   0.0000  0.0000  0.5432
   83   681      0.0335   0.0687    0.0687   0.4231   0.0000  0.0000  0.5433
   84   682      0.0339   0.0692    0.0692   0.4226   0.0000  0.0000  0.5435
   85   683      0.0344   0.0698    0.0698   0.4217   0.0000  0.0000  0.5438
   86   684      0.0350   0.0705    0.0705   0.4207   0.0000  0.0000  0.5443
   87   685      0.0358   0.0714    0.0714   0.4192   0.0000  0.0000  0.5450
   88   686      0.0368   0.0725    0.0725   0.4174   0.0000  0.0000  0.5458
   89   687      0.0380   0.0739    0.0739   0.4151   0.0000  0.0000  0.5469
   90   688      0.0394   0.0755    0.0755   0.4125   0.0000  0.0000  0.5482
   91   689      0.0410   0.0774    0.0774   0.4093   0.0000  0.0000  0.5497
   92   690      0.0430   0.0796    0.0796   0.4056   0.0000  0.0000  0.5514
   93   691      0.0453   0.0821    0.0821   0.4013   0.0000  0.0000  0.5534
   94   692      0.0478   0.0850    0.0850   0.3966   0.0000  0.0000  0.5556
   95   693      0.0507   0.0883    0.0883   0.3912   0.0000  0.0000  0.5581
   96   694      0.0539   0.0920    0.0920   0.3854   0.0000  0.0000  0.5607
   97   695      0.0573   0.0959    0.0959   0.3791   0.0000  0.0000  0.5636
   98   696      0.0610   0.1002    0.1002   0.3724   0.0000  0.0000  0.5666
   99   697      0.0649   0.1046    0.1046   0.3653   0.0000  0.0000  0.5698
  100   698      0.0689   0.1093    0.1093   0.3579   0.0000  0.0000  0.5731
  101   699      0.0731   0.1141    0.1141   0.3503   0.0000  0.0000  0.5765
  102   700      0.0774   0.1191    0.1191   0.3426   0.0000  0.0000  0.5800
  103   701      0.0818   0.1241    0.1241   0.3348   0.0000  0.0000  0.5834
  104   702      0.0862   0.1291    0.1291   0.3270   0.0000  0.0000  0.5869
  105   703      0.0905   0.1340    0.1340   0.3192   0.0000  0.0000  0.5903
  106   704      0.0948   0.1389    0.1389   0.3115   0.0000  0.0000  0.5936
  107   705      0.0991   0.1438    0.1438   0.3039   0.0000  0.0000  0.5969
  108   706      0.1033   0.1485    0.1485   0.2965   0.0000  0.0000  0.6002
  109   707      0.1075   0.1532    0.1532   0.2892   0.0000  0.0000  0.6033
  110   708      0.1116   0.1578    0.1578   0.2820   0.0000  0.0000  0.6064
  111   709      0.1156   0.1623    0.1623   0.2749   0.0000  0.0000  0.6095
  112   710      0.1196   0.1667    0.1667   0.2678   0.0000  0.0000  0.6125
  113   711      0.1236   0.1711    0.1711   0.2609   0.0000  0.0000  0.6155
  114   712      0.1275   0.1753    0.1753   0.2540   0.0000  0.0000  0.6185
  115   713      0.1313   0.1795    0.1795   0.2472   0.0000  0.0000  0.6214
  116   714      0.1352   0.1837    0.1837   0.2404   0.0000  0.0000  0.6243
  117   715      0.1390   0.1878    0.1878   0.2337   0.0000  0.0000  0.6272
  118   716      0.1428   0.1918    0.1918   0.2271   0.0000  0.0000  0.6301
  119   717      0.1465   0.1958    0.1958   0.2206   0.0000  0.0000  0.6329
  120   718      0.1502   0.1997    0.1997   0.2141   0.0000  0.0000  0.6356
  121   719      0.1539   0.2036    0.2036   0.2077   0.0000  0.0000  0.6383
  122   720      0.1575   0.2074    0.2074   0.2015   0.0000  0.0000  0.6410
