 0.00  400    0    0    0 1.999e-03
 0.00  400    0    0   10 1.999e-03
 0.00  400    0    0   20 1.999e-03
 0.00  400    0    0   30 1.999e-03
 0.00  400    0    0   40 1.999e-03
 0.00  400    0    0   50 1.999e-03
 0.00  400    0    0   60 1.999e-03
 0.00  400    0    0   70 1.999e-03
 0.00  400    0    0   80 1.999e-03
 0.00  400    0    0   90 1.999e-03
 0.00  400    0    0  100 1.999e-03
 0.00  400    0    0  110 1.999e-03
 0.00  400    0    0  120 1.999e-03
 0.00  400    0    0  130 1.999e-03
 0.00  400    0    0  140 1.999e-03
 0.00  400    0    0  150 1.999e-03
 0.00  400    0    0  160 1.999e-03
 0.00  400    0    0  170 1.999e-03
 0.00  400    0    0  180 1.999e-03
 0.00  400    0   10    0 2.641e-04
 0.00  400    0   10   10 2.641e-04
 0.00  400    0   10   20 2.641e-04
 0.00  400    0   10   30 2.641e-04
 0.00  400    0   10   40 2.641e-04
 0.00  400    0   10   50 2.641e-04
 0.00  400    0   10   60 2.641e-04
 0.00  400    0   10   70 2.641e-04
 0.00  400    0   10   80 2.641e-04
 0.00  400    0   10   90 2.641e-04
 0.00  400    0   10  100 2.641e-04
 0.00  400    0   10  110 2.641e-04
 0.00  400    0   10  120 2.641e-04
 0.00  400    0   10  130 2.641e-04
 0.00  400    0   10  140 2.641e-04
 0.00  400    0   10  150 2.641e-04
 0.00  400    0   10  160 2.641e-04
 0.00  400    0   10  170 2.641e-04
 0.00  400    0   10  180 2.641e-04
 0.00  400    0   20    0 2.121e-04
 0.00  400    0   20   10 2.121e-04
 0.00  400    0   20   20 2.121e-04
 0.00  400    0   20   30 2.121e-04
 0.00  400    0   20   40 2.121e-04
 0.00  400    0   20   50 2.121e-04
 0.00  400    0   20   60 2.121e-04
 0.00  400    0   20   70 2.121e-04
 0.00  400    0   20   80 2.121e-04
 0.00  400    0   20   90 2.121e-04
 0.00  400    0   20  100 2.121e-04
 0.00  400    0   20  110 2.121e-04
 0.00  400    0   20  120 2.121e-04
 0.00  400    0   20  130 2.121e-04
 0.00  400    0   20  140 2.121e-04
 0.00  400    0   20  150 2.121e-04
 0.00  400    0   20  160 2.121e-04
 0.00  400    0   20  170 2.121e-04
 0.00  400    0   20  180 2.121e-04
 0.00  400    0   30    0 1.862e-04
 0.00  400    0   30   10 1.862e-04
 0.00  400    0   30   20 1.862e-04
 0.00  400    0   30   30 1.862e-04
 0.00  400    0   30   40 1.862e-04
 0.00  400    0   30   50 1.862e-04
 0.00  400    0   30   60 1.862e-04
 0.00  400    0   30   70 1.862e-04
 0.00  400    0   30   80 1.862e-04
 0.00  400    0   30   90 1.862e-04
 0.00  400    0   30  100 1.862e-04
 0.00  400    0   30  110 1.862e-04
 0.00  400    0   30  120 1.862e-04
 0.00  400    0   30  130 1.862e-04
 0.00  400    0   30  140 1.862e-04
 0.00  400    0   30  150 1.862e-04
 0.00  400    0   30  160 1.862e-04
 0.00  400    0   30  170 1.862e-04
 0.00  400    0   30  180 1.862e-04
 0.00  400    0   40    0 1.751e-04
 0.00  400    0   40   10 1.751e-04
 0.00  400    0   40   20 1.751e-04
 0.00  400    0   40   30 1.751e-04
 0.00  400    0   40   40 1.751e-04
 0.00  400    0   40   50 1.751e-04
 0.00  400    0   40   60 1.751e-04
 0.00  400    0   40   70 1.751e-04
 0.00  400    0   40   80 1.751e-04
 0.00  400    0   40   90 1.751e-04
 0.00  400    0   40  100 1.751e-04
 0.00  400    0   40  110 1.751e-04
 0.00  400    0   40  120 1.751e-04
 0.00  400    0   40  130 1.751e-04
 0.00  400    0   40  140 1.751e-04
 0.00  400    0   40  150 1.751e-04
 0.00  400    0   40  160 1.751e-04
 0.00  400    0   40  170 1.751e-04
 0.00  400    0   40  180 1.751e-04
 0.00  400    0   50    0 1.755e-04
 0.00  400    0   50   10 1.755e-04
 0.00  400    0   50   20 1.755e-04
 0.00  400    0   50   30 1.755e-04
 0.00  400    0   50   40 1.755e-04
 0.00  400    0   50   50 1.755e-04
 0.00  400    0   50   60 1.755e-04
 0.00  400    0   50   70 1.755e-04
 0.00  400    0   50   80 1.755e-04
 0.00  400    0   50   90 1.755e-04
 0.00  400    0   50  100 1.755e-04
 0.00  400    0   50  110 1.755e-04
 0.00  400    0   50  120 1.755e-04
 0.00  400    0   50  130 1.755e-04
 0.00  400    0   50  140 1.755e-04
 0.00  400    0   50  150 1.755e-04
 0.00  400    0   50  160 1.755e-04
 0.00  400    0   50  170 1.755e-04
 0.00  400    0   50  180 1.755e-04
 0.00  400    0   60    0 1.871e-04
 0.00  400    0   60   10 1.871e-04
 0.00  400    0   60   20 1.871e-04
 0.00  400    0   60   30 1.871e-04
 0.00  400    0   60   40 1.871e-04
 0.00  400    0   60   50 1.871e-04
 0.00  400    0   60   60 1.871e-04
 0.00  400    0   60   70 1.871e-04
 0.00  400    0   60   80 1.871e-04
 0.00  400    0   60   90 1.871e-04
 0.00  400    0   60  100 1.871e-04
 0.00  400    0   60  110 1.871e-04
 0.00  400    0   60  120 1.871e-04
 0.00  400    0   60  130 1.871e-04
 0.00  400    0   60  140 1.871e-04
 0.00  400    0   60  150 1.871e-04
 0.00  400    0   60  160 1.871e-04
 0.00  400    0   60  170 1.871e-04
 0.00  400    0   60  180 1.871e-04
 0.00  400    0   70    0 2.126e-04
 0.00  400    0   70   10 2.126e-04
 0.00  400    0   70   20 2.126e-04
 0.00  400    0   70   30 2.126e-04
 0.00  400    0   70   40 2.126e-04
 0.00  400    0   70   50 2.126e-04
 0.00  400    0   70   60 2.126e-04
